OID_,Date,Time,Latitude,Longitude,Turtle_ID,Turtle_sex,Altitude,Duration,Temperature,Voltage,DOP,Satellites,EST_Time,NEAR_FID,NEAR_DIST
315,7/25/2022 0:00:00,19:00,41.574796470000003,-71.725089499999996,L1R4,female,24.513333329999998,19.666666670000001,29.666666670000001,0,1.200000000000000,6.000000000000000,7/25/2022 19:00:00,2,367.391287650581262
316,7/26/2022 0:00:00,7:00,41.574815299999997,-71.725209969999995,L1R4,female,11.609999999999999,11.000000000000000,20.833333329999999,0,2.000000000000000,5.666666667000000,7/26/2022 7:00:00,2,377.654446005499153
317,7/26/2022 0:00:00,11:00,41.574654170000002,-71.724999330000003,L1R4,female,29.770000000000000,16.666666670000001,27.666666670000001,0,1.400000000000000,6.000000000000000,7/26/2022 11:00:00,2,356.809248721581298
318,7/26/2022 0:00:00,19:00,41.574528070000000,-71.724601129999996,L1R4,female,17.930000000000000,26.333333329999999,28.333333329999999,0,2.466666667000000,4.666666667000000,7/26/2022 19:00:00,2,321.667732585237331
319,7/27/2022 0:00:00,7:00,41.574451400000001,-71.724592070000000,L1R4,female,21.500000000000000,11.000000000000000,14.833333330000000,0,1.533333333000000,6.000000000000000,7/27/2022 7:00:00,2,319.656972034322052
320,7/27/2022 0:00:00,11:00,41.574579030000002,-71.724686030000001,L1R4,female,16.070000000000000,11.333333330000000,30.666666670000001,0,1.866666667000000,6.000000000000000,7/27/2022 11:00:00,2,329.599743274807793
321,7/27/2022 0:00:00,19:00,41.574688899999998,-71.724688569999998,L1R4,female,24.923333329999998,15.666666670000000,28.500000000000000,0,1.333333333000000,6.333333333000000,7/27/2022 19:00:00,2,332.153383525335812
322,7/28/2022 0:00:00,7:00,41.574685100000004,-71.724761070000000,L1R4,female,57.543333330000003,11.000000000000000,17.833333329999999,0,1.800000000000000,5.000000000000000,7/28/2022 7:00:00,2,337.982238159278552
323,7/28/2022 0:00:00,11:00,41.574589050000000,-71.724843699999994,L1R4,female,28.379999999999999,16.500000000000000,28.750000000000000,0,2.000000000000000,5.500000000000000,7/28/2022 11:00:00,2,342.747161596716694
324,7/28/2022 0:00:00,19:00,41.574804469999997,-71.725095670000002,L1R4,female,33.049999999999997,20.333333329999999,29.666666670000001,0,3.333333333000000,5.000000000000000,7/28/2022 19:00:00,2,368.091383360148200
325,7/29/2022 0:00:00,7:00,41.574756630000003,-71.725069329999997,L1R4,female,19.453333330000000,11.333333330000000,23.833333329999999,0,1.800000000000000,6.000000000000000,7/29/2022 7:00:00,2,364.788571327941725
326,7/29/2022 0:00:00,11:00,41.575140269999999,-71.724804700000007,L1R4,female,26.173333329999998,19.666666670000001,35.166666669999998,0,1.733333333000000,6.000000000000000,7/29/2022 11:00:00,2,354.506630395034392
327,7/29/2022 0:00:00,19:00,41.575127969999997,-71.724775469999997,L1R4,female,30.723333329999999,12.333333330000000,30.166666670000001,0,2.000000000000000,5.000000000000000,7/29/2022 19:00:00,2,351.786543448283908
328,7/30/2022 0:00:00,7:00,41.575144770000001,-71.724722270000001,L1R4,female,37.156666670000000,16.000000000000000,23.333333329999999,0,1.866666667000000,5.000000000000000,7/30/2022 7:00:00,2,348.032935006839239
329,7/30/2022 0:00:00,11:00,41.575143629999999,-71.724930970000003,L1R4,female,30.766666669999999,27.000000000000000,35.500000000000000,0,2.066666667000000,5.000000000000000,7/30/2022 11:00:00,2,364.736541433547188
330,7/30/2022 0:00:00,19:00,41.575227800000000,-71.724952299999998,L1R4,female,44.843333330000000,21.666666670000001,28.166666670000001,0,2.200000000000000,5.000000000000000,7/30/2022 19:00:00,2,369.018518405813722
331,7/31/2022 0:00:00,7:00,41.575184069999999,-71.724950030000002,L1R4,female,31.233333330000001,17.333333329999999,16.666666670000001,0,2.066666667000000,5.000000000000000,7/31/2022 7:00:00,2,367.500594097478199
