"","Turtle_ID","Latitude","Longitude","Longitude.1","Latitude.1","optional"
"375","L3R1",41.57865367,-71.72009493,273237.944913633,4606570.00812693,TRUE
"376","L3R1",41.57863823,-71.72016433,273232.104767432,4606568.47617353,TRUE
"377","L3R1",41.578632,-71.72010257,273237.232076967,4606567.62206523,TRUE
"378","L3R1",41.57858607,-71.71995593,273249.297112898,4606562.13671757,TRUE
"379","L3R1",41.57692875,-71.7199339,273245.332015194,4606378.05699978,TRUE
"380","L3R1",41.57511297,-71.72028537,273209.670972463,4606177.36443544,TRUE
"381","L3R1",41.56848397,-71.71619067,273527.905702576,4605430.55264076,TRUE
"382","L3R1",41.56835643,-71.71594163,273548.226441046,4605415.73749135,TRUE
"383","L3R1",41.5685197,-71.71607577,273537.611648531,4605434.21835005,TRUE
"384","L3R1",41.5683912,-71.7159044,273551.452429292,4605419.50048414,TRUE
"385","L3R1",41.5684192,-71.71601107,273542.655478843,4605422.88945255,TRUE
"386","L3R1",41.56849063,-71.7160889,273536.415186201,4605431.02500869,TRUE
"387","L3R1",41.5686183,-71.7162164,273526.229699284,4605445.53559069,TRUE
"388","L3R1",41.56846823,-71.7159417,273548.611336315,4605428.15145397,TRUE
"389","L3R1",41.56846707,-71.7160914,273536.124375883,4605428.4155721,TRUE
"390","L3R1",41.56846447,-71.71604727,273539.79511944,4605428.01104876,TRUE
"391","L3R1",41.5684935,-71.71611027,273534.643255924,4605431.39977266,TRUE
"392","L3R1",41.5693991,-71.71629977,273522.007040195,4605532.45103092,TRUE
"393","L3R1",41.56960063,-71.71622323,273529.093744142,4605554.62712278,TRUE
"394","L3R1",41.56948757,-71.71639347,273514.503124089,4605542.52031778,TRUE
"395","L3R1",41.5693149,-71.71650935,273504.236882906,4605523.65200063,TRUE
"396","L3R1",41.5696299,-71.7163108,273521.894059707,4605558.10700351,TRUE
"397","L3R1",41.5696289,-71.71618197,273532.633008932,4605557.65779591,TRUE
"398","L3R1",41.56964663,-71.7161096,273538.729526445,4605559.43649686,TRUE
"399","L3R1",41.5696754,-71.7160527,273543.574667278,4605562.48164092,TRUE
"400","L3R1",41.5694212,-71.7165778,273498.900780044,4605535.63478318,TRUE
"401","L3R1",41.5695871,-71.7167143,273488.098723436,4605554.41394945,TRUE
"402","L3R1",41.5703875,-71.717312,273441.058517967,4605644.8562409,TRUE
"403","L3R1",41.57033157,-71.71734457,273438.147131719,4605638.7315468,TRUE
"404","L3R1",41.57010155,-71.71824655,273362.132034591,4605615.56013837,TRUE
"405","L3R1",41.57026535,-71.71848265,273343.018082886,4605634.3680124,TRUE
"406","L3R1",41.5705918,-71.71836255,273354.17446498,4605670.30008915,TRUE
"407","L3R1",41.5706779,-71.7184417,273347.875870164,4605680.06818929,TRUE
"408","L3R1",41.57059003,-71.71853277,273339.974745519,4605670.55073919,TRUE
"409","L3R1",41.57048613,-71.71872253,273323.788395138,4605659.51268445,TRUE
"410","L3R1",41.5704411,-71.71928717,273276.549119349,4605655.99641241,TRUE
"411","L3R1",41.5702672,-71.7190822,273293.03176743,4605636.14869188,TRUE
"412","L3R1",41.5761513,-71.7204839,273196.753496798,4606293.1781222,TRUE
